workclass,marital-status,occupation,race,sex,hours-per-week,native-country,income,net_capital,age_group,education_level
Private,Divorced,Craft-repair,White,Female,40,United-States,>50K,14344,middle_aged,Medium
Private,Divorced,Sales,White,Female,35,United-States,<=50K,0,senior,Medium
Local-gov,Married-civ-spouse,Protective-serv,White,Male,40,United-States,>50K,0,middle_aged,Medium
Private,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,<=50K,0,young_adult,High
Private,Never-married,Sales,White,Male,40,United-States,<=50K,0,young_adult,Low
Federal-gov,Never-married,Prof-specialty,White,Female,50,United-States,>50K,0,middle_aged,High
Private,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,<=50K,0,senior,Medium
Private,Divorced,Craft-repair,White,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Divorced,Machine-op-inspct,Black,Female,25,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Sales,Asian-Pac-Islander,Female,35,Other,<=50K,-1573,young_adult,Medium
Local-gov,Married-civ-spouse,Protective-serv,White,Male,40,United-States,>50K,0,young_adult,High
Local-gov,Never-married,Handlers-cleaners,White,Male,50,United-States,<=50K,0,young_adult,Medium
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,White,Male,60,United-States,>50K,-1902,middle_aged,High
Private,Married-civ-spouse,Sales,White,Male,48,United-States,>50K,0,middle_aged,Medium
Private,Divorced,Exec-managerial,White,Female,40,Other,<=50K,0,middle_aged,Medium
Federal-gov,Never-married,Other-service,Black,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K,0,elderly,High
Private,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,>50K,15024,middle_aged,High
Self-emp-not-inc,Never-married,Prof-specialty,White,Female,50,United-States,<=50K,0,middle_aged,High
Private,Never-married,Tech-support,White,Female,40,United-States,<=50K,0,young,Medium
Private,Never-married,Craft-repair,White,Male,40,United-States,<=50K,0,young_adult,Medium
Self-emp-inc,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K,7688,young_adult,Medium
Private,Never-married,Handlers-cleaners,White,Male,40,United-States,<=50K,0,young_adult,Medium
Local-gov,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Sales,White,Male,40,United-States,<=50K,0,young,High
Private,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K,0,middle_aged,High
Self-emp-not-inc,Married-civ-spouse,Other-service,White,Male,50,Canada,>50K,-1887,senior,Medium
Private,Married-civ-spouse,Sales,White,Female,25,United-States,<=50K,4064,young_adult,Medium
Private,Never-married,Machine-op-inspct,White,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Handlers-cleaners,White,Male,50,United-States,<=50K,0,senior,Low
Self-emp-inc,Married-civ-spouse,Sales,White,Male,50,United-States,<=50K,0,senior,Medium
Local-gov,Married-civ-spouse,Craft-repair,Black,Male,40,United-States,>50K,0,middle_aged,Medium
Private,Married-civ-spouse,Sales,White,Male,56,United-States,<=50K,0,senior,Medium
Private,Never-married,Craft-repair,White,Male,41,United-States,<=50K,0,young,Medium
Private,Never-married,Other-service,White,Female,40,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,60,United-States,<=50K,0,middle_aged,High
Private,Never-married,Exec-managerial,Black,Male,40,Germany,<=50K,0,young_adult,High
State-gov,Married-civ-spouse,Prof-specialty,White,Male,50,United-States,>50K,0,young_adult,High
Private,Never-married,Other-service,Black,Male,35,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Exec-managerial,White,Female,40,United-States,>50K,0,middle_aged,High
Private,Never-married,Adm-clerical,White,Female,28,United-States,<=50K,-1719,young,Medium
Private,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,>50K,0,young_adult,Medium
Private,Divorced,Craft-repair,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Sales,White,Female,60,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Other-service,White,Female,40,United-States,<=50K,-1762,young,Medium
Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,35,United-States,<=50K,4386,middle_aged,Medium
Private,Married-civ-spouse,Sales,White,Male,50,United-States,<=50K,0,middle_aged,High
Private,Divorced,Tech-support,Black,Female,36,United-States,<=50K,0,middle_aged,Medium
Federal-gov,Married-civ-spouse,Prof-specialty,White,Male,40,Other,>50K,0,middle_aged,High
Self-emp-not-inc,Married-civ-spouse,Craft-repair,White,Male,60,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Adm-clerical,White,Female,35,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Sales,White,Male,20,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,40,United-States,>50K,0,middle_aged,Medium
Self-emp-inc,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,0,senior,Medium
Private,Never-married,Sales,White,Female,40,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Other-service,White,Male,30,Mexico,<=50K,0,young,Medium
Private,Never-married,Prof-specialty,White,Female,40,United-States,>50K,-1564,middle_aged,Medium
Private,Never-married,Tech-support,White,Male,40,United-States,<=50K,0,elderly,Medium
Private,Never-married,Transport-moving,Black,Female,30,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Other-service,White,Male,24,United-States,<=50K,0,young,Medium
Private,Widowed,Other-service,White,Female,24,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,-2179,senior,Medium
Local-gov,Divorced,Adm-clerical,White,Female,38,Mexico,<=50K,0,middle_aged,Medium
Private,Never-married,Adm-clerical,White,Female,40,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Exec-managerial,Asian-Pac-Islander,Female,40,Philippines,<=50K,0,young_adult,High
Private,Never-married,Craft-repair,White,Male,35,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,46,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Handlers-cleaners,White,Male,40,United-States,<=50K,0,young,High
Self-emp-not-inc,Separated,Sales,Black,Male,2,United-States,<=50K,-1816,elderly,Medium
Private,Divorced,Craft-repair,White,Male,60,United-States,<=50K,0,young_adult,Medium
Private,Separated,Other-service,Black,Male,50,United-States,<=50K,0,middle_aged,High
Private,Never-married,Other-service,White,Female,40,United-States,<=50K,0,young,Medium
Self-emp-inc,Divorced,Exec-managerial,Asian-Pac-Islander,Female,40,United-States,<=50K,0,middle_aged,High
Private,Never-married,Exec-managerial,Asian-Pac-Islander,Female,40,Other,<=50K,0,young_adult,Medium
Self-emp-not-inc,Married-civ-spouse,Sales,White,Male,40,United-States,>50K,0,middle_aged,High
Private,Divorced,Other-service,White,Female,40,Mexico,<=50K,0,middle_aged,Medium
Federal-gov,Never-married,Exec-managerial,White,Male,42,United-States,<=50K,0,middle_aged,Medium
State-gov,Widowed,Protective-serv,White,Male,40,United-States,<=50K,0,middle_aged,High
Private,Never-married,Handlers-cleaners,White,Male,16,United-States,<=50K,0,young,Medium
Local-gov,Widowed,Prof-specialty,White,Female,20,United-States,<=50K,0,elderly,Medium
Private,Never-married,Other-service,White,Male,40,United-States,<=50K,-1980,young_adult,Medium
State-gov,Married-civ-spouse,Protective-serv,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Sales,White,Male,40,United-States,>50K,-1977,senior,Medium
Private,Never-married,Craft-repair,White,Male,50,United-States,<=50K,0,young_adult,High
State-gov,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K,0,young_adult,High
Private,Married-spouse-absent,Sales,White,Female,25,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Craft-repair,Black,Male,40,United-States,<=50K,0,young,Medium
Private,Never-married,Handlers-cleaners,Black,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Other-service,White,Male,12,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Prof-specialty,White,Male,65,United-States,<=50K,0,young_adult,High
Local-gov,Married-civ-spouse,Exec-managerial,Black,Male,38,United-States,>50K,0,middle_aged,Medium
Private,Divorced,Adm-clerical,White,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Craft-repair,Black,Male,45,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Machine-op-inspct,White,Male,40,Mexico,>50K,0,middle_aged,Low
Federal-gov,Married-civ-spouse,Adm-clerical,White,Male,42,United-States,>50K,0,middle_aged,Medium
Private,Married-civ-spouse,Adm-clerical,Black,Male,40,United-States,<=50K,0,young_adult,Medium
Self-emp-not-inc,Divorced,Exec-managerial,White,Female,40,United-States,<=50K,0,middle_aged,High
Private,Married-civ-spouse,Prof-specialty,White,Female,50,United-States,<=50K,0,young_adult,High
State-gov,Married-civ-spouse,Prof-specialty,White,Male,1,United-States,>50K,0,senior,High
Private,Divorced,Machine-op-inspct,Black,Female,28,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,<=50K,0,young,Medium
Local-gov,Married-civ-spouse,Craft-repair,Black,Male,40,United-States,<=50K,0,middle_aged,High
Private,Married-civ-spouse,Tech-support,White,Male,45,United-States,<=50K,0,middle_aged,Medium
Federal-gov,Married-civ-spouse,Tech-support,White,Male,24,United-States,<=50K,0,middle_aged,High
Private,Married-civ-spouse,Transport-moving,White,Male,40,Mexico,<=50K,0,young,Low
Private,Divorced,Craft-repair,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Federal-gov,Never-married,Exec-managerial,White,Female,55,United-States,>50K,14084,middle_aged,High
Private,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K,7298,young_adult,High
Self-emp-not-inc,Never-married,Sales,White,Male,40,United-States,<=50K,0,young,Medium
Private,Never-married,Prof-specialty,White,Female,40,United-States,<=50K,-1876,young_adult,High
Private,Married-civ-spouse,Exec-managerial,White,Male,50,United-States,>50K,0,senior,High
Local-gov,Never-married,Prof-specialty,White,Female,40,United-States,<=50K,-1340,middle_aged,Medium
State-gov,Divorced,Adm-clerical,White,Female,35,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Sales,White,Female,40,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Other-service,Black,Male,36,United-States,>50K,7298,middle_aged,High
Private,Divorced,Craft-repair,White,Male,60,United-States,<=50K,0,young_adult,Medium
Self-emp-inc,Married-civ-spouse,Sales,White,Female,35,United-States,>50K,15024,senior,Medium
Private,Never-married,Sales,White,Female,12,United-States,<=50K,0,young,Medium
Local-gov,Married-civ-spouse,Transport-moving,Black,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K,0,middle_aged,Medium
Private,Never-married,Sales,Amer-Indian-Eskimo,Female,40,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,40,United-States,<=50K,0,senior,Medium
Self-emp-inc,Married-civ-spouse,Machine-op-inspct,White,Male,40,United-States,>50K,0,senior,Low
Private,Never-married,Exec-managerial,Black,Male,60,United-States,>50K,0,middle_aged,High
Private,Divorced,Sales,White,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Sales,White,Male,50,Other,<=50K,0,middle_aged,High
Private,Married-civ-spouse,Prof-specialty,White,Male,55,United-States,<=50K,0,middle_aged,High
Private,Never-married,Craft-repair,White,Male,40,United-States,<=50K,0,young,Low
Private,Married-civ-spouse,Handlers-cleaners,White,Male,40,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Other-service,Black,Male,40,United-States,<=50K,-2206,elderly,Medium
Private,Married-civ-spouse,Adm-clerical,Black,Male,20,United-States,<=50K,0,senior,Medium
Local-gov,Never-married,Machine-op-inspct,White,Female,35,United-States,<=50K,0,senior,Low
Private,Never-married,Sales,White,Female,40,United-States,<=50K,0,young,Medium
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,50,United-States,<=50K,1409,elderly,Medium
Private,Widowed,Adm-clerical,White,Female,20,Other,<=50K,0,elderly,Medium
Private,Divorced,Adm-clerical,White,Female,40,United-States,<=50K,0,senior,Medium
Private,Separated,Transport-moving,Black,Male,40,United-States,<=50K,3674,young_adult,Medium
Private,Divorced,Sales,Black,Female,38,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Adm-clerical,White,Male,42,United-States,<=50K,0,young,Medium
Private,Divorced,Craft-repair,Other,Female,40,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Prof-specialty,White,Male,55,United-States,>50K,0,young_adult,High
State-gov,Married-civ-spouse,Other-service,White,Male,40,United-States,<=50K,0,senior,Medium
State-gov,Never-married,Adm-clerical,White,Female,38,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,50,Other,>50K,0,middle_aged,High
Local-gov,Married-civ-spouse,Exec-managerial,White,Male,70,United-States,>50K,0,middle_aged,High
Private,Never-married,Transport-moving,White,Male,40,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Prof-specialty,White,Male,40,United-States,>50K,0,middle_aged,High
Self-emp-not-inc,Married-civ-spouse,Other-service,White,Female,20,United-States,<=50K,0,middle_aged,Medium
State-gov,Married-civ-spouse,Protective-serv,White,Male,50,United-States,<=50K,0,young,Medium
Private,Divorced,Craft-repair,White,Male,40,United-States,<=50K,-1741,middle_aged,Medium
Private,Married-civ-spouse,Adm-clerical,White,Male,35,Other,<=50K,0,senior,Medium
Private,Married-civ-spouse,Adm-clerical,White,Male,45,United-States,>50K,0,senior,Medium
Private,Never-married,Other-service,White,Female,34,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Tech-support,White,Male,60,United-States,>50K,-1977,middle_aged,Medium
Private,Married-civ-spouse,Adm-clerical,White,Male,40,Other,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Prof-specialty,White,Female,40,United-States,>50K,0,middle_aged,High
Private,Married-civ-spouse,Adm-clerical,Black,Female,40,United-States,<=50K,0,middle_aged,High
Local-gov,Widowed,Other-service,Black,Female,30,United-States,<=50K,0,senior,Low
Local-gov,Never-married,Adm-clerical,White,Male,40,United-States,<=50K,0,young,Medium
Private,Never-married,Transport-moving,White,Male,20,United-States,<=50K,0,senior,Medium
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Male,40,Other,>50K,0,middle_aged,Medium
Private,Never-married,Other-service,White,Female,40,United-States,<=50K,0,young,Medium
Private,Separated,Other-service,White,Female,30,United-States,<=50K,0,young_adult,Medium
Private,Widowed,Exec-managerial,White,Female,45,United-States,<=50K,0,middle_aged,Medium
Private,Divorced,Craft-repair,White,Male,40,United-States,<=50K,0,middle_aged,Low
Private,Divorced,Prof-specialty,White,Female,40,United-States,<=50K,0,middle_aged,High
Private,Married-civ-spouse,Sales,White,Male,60,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Other-service,White,Male,12,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Sales,White,Male,40,United-States,<=50K,4064,senior,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,40,United-States,<=50K,0,young_adult,Medium
Self-emp-inc,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,75,Other,>50K,0,middle_aged,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K,0,senior,Medium
Private,Never-married,Prof-specialty,White,Female,45,United-States,<=50K,0,young_adult,High
Private,Married-civ-spouse,Craft-repair,White,Female,40,United-States,>50K,0,young_adult,Medium
Private,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,>50K,0,senior,Medium
Private,Never-married,Other-service,White,Male,24,United-States,<=50K,1055,young,Low
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,White,Male,98,United-States,<=50K,2407,middle_aged,High
Local-gov,Never-married,Prof-specialty,White,Male,35,United-States,<=50K,0,young_adult,High
Private,Divorced,Prof-specialty,White,Female,40,United-States,<=50K,0,young_adult,Medium
Private,Married-civ-spouse,Handlers-cleaners,Black,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K,7298,middle_aged,Medium
Private,Never-married,Exec-managerial,White,Female,40,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Tech-support,White,Female,40,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Machine-op-inspct,White,Female,48,United-States,>50K,7298,young,Medium
Private,Never-married,Prof-specialty,White,Female,15,Germany,<=50K,0,young,High
Local-gov,Married-civ-spouse,Craft-repair,White,Male,40,United-States,>50K,5178,middle_aged,Medium
Private,Divorced,Sales,Black,Female,45,United-States,<=50K,0,young_adult,Medium
Private,Divorced,Prof-specialty,White,Female,42,United-States,<=50K,0,senior,High
Private,Never-married,Handlers-cleaners,White,Male,40,United-States,<=50K,0,young,Medium
Federal-gov,Married-civ-spouse,Sales,White,Male,40,United-States,>50K,15024,senior,High
Private,Married-civ-spouse,Prof-specialty,White,Male,60,United-States,>50K,0,middle_aged,High
Private,Divorced,Other-service,White,Male,45,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Exec-managerial,White,Female,40,United-States,<=50K,0,young,High
Private,Married-civ-spouse,Craft-repair,White,Male,40,Other,<=50K,0,middle_aged,Low
Private,Married-civ-spouse,Prof-specialty,White,Male,45,United-States,<=50K,0,middle_aged,High
Private,Divorced,Prof-specialty,White,Female,40,United-States,<=50K,0,young_adult,Medium
Local-gov,Never-married,Protective-serv,White,Male,56,United-States,<=50K,0,young_adult,High
Private,Never-married,Sales,White,Male,45,United-States,<=50K,0,young,Medium
Private,Never-married,Tech-support,Black,Female,40,United-States,<=50K,0,young_adult,High
Private,Married-civ-spouse,Transport-moving,White,Male,16,United-States,<=50K,0,senior,Medium
Self-emp-inc,Divorced,Sales,White,Female,60,United-States,<=50K,0,middle_aged,High
Private,Never-married,Craft-repair,White,Male,40,United-States,<=50K,0,young,Medium
Private,Divorced,Sales,White,Male,80,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,>50K,7688,middle_aged,High
Private,Never-married,Other-service,Asian-Pac-Islander,Female,25,United-States,<=50K,0,young,Medium
Private,Married-civ-spouse,Transport-moving,White,Male,45,United-States,>50K,0,young_adult,Medium
Private,Married-civ-spouse,Sales,White,Male,40,United-States,>50K,4386,senior,Medium
Private,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Female,40,Other,<=50K,0,young,Medium
Private,Divorced,Adm-clerical,White,Female,40,United-States,<=50K,0,middle_aged,Medium
Private,Never-married,Tech-support,White,Male,45,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Prof-specialty,White,Female,33,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Adm-clerical,White,Male,40,United-States,>50K,0,young_adult,Medium
Self-emp-inc,Married-civ-spouse,Farming-fishing,White,Male,54,United-States,>50K,0,middle_aged,Medium
Private,Never-married,Sales,White,Male,40,United-States,<=50K,0,young_adult,High
Private,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,35,Other,>50K,7298,young_adult,High
Self-emp-not-inc,Divorced,Prof-specialty,Black,Female,40,United-States,>50K,0,middle_aged,High
Private,Never-married,Sales,White,Male,15,United-States,<=50K,0,young,Medium
Private,Never-married,Machine-op-inspct,White,Male,40,United-States,<=50K,0,young,Medium
Self-emp-not-inc,Married-civ-spouse,Sales,White,Male,40,United-States,<=50K,0,elderly,Medium
Private,Married-civ-spouse,Machine-op-inspct,White,Female,40,Mexico,<=50K,0,young,Low
Private,Never-married,Tech-support,White,Female,40,United-States,<=50K,0,young_adult,Medium
Private,Widowed,Other-service,White,Female,24,United-States,<=50K,0,senior,Medium
Self-emp-not-inc,Married-civ-spouse,Exec-managerial,White,Male,40,United-States,<=50K,0,middle_aged,Medium
Private,Married-civ-spouse,Craft-repair,White,Male,50,United-States,<=50K,-1485,middle_aged,Medium
Private,Divorced,Transport-moving,White,Male,45,United-States,<=50K,0,young_adult,Medium
Private,Never-married,Exec-managerial,White,Female,40,United-States,<=50K,0,young_adult,Medium
